eat;comeré;comeremos;comerán;comerá;comeras
sleep;dormiré;dormiremos;dormirán;dormirá;dormiras
abandon;abandonaré;abandonarémos;abandonarán;abandonará;abandonaras
abuse;abusaré;abusaremos;abusarán;abusará;abusarás
accede;accederé;accederemos;accedarán;accederá;accederas
accelerate;aceleraré;aceleraremos;acelerarán;acelerará;acelerarás
accent;acentuaré;acentuaremos;acentuarán;acentuará;acentuarás
act;actuaré;actuaremos;actuarán;actuará;actuarás
accustom;acostumbraré;acostumbraremos;acostumbrarán;acostumbrará;acostumbrarás
add;añadiré;añadiremos;añadirás;añadirán;añadirá
address;dirigiré;dirigirás;dirigiremos;dirigirán;dirigirá;dirigirás
admire;admiraré;admirarás;admiraremos;admirará;admirará
admit;admitiré;admitirás;admitiremos;admitirá;admitirá
adore;adoraré;adorarás;adoraremos;adorará;adorarás
adorn;adornaré;adornaremos;adornarás;adornará;adornarás
advance;avanzaré;avanzarás;avanzaremos;avanzará;avanzará
affirm;afirmare;afirmaras;afirmaremos;afirmará;afirmará
agree;acordaré;acordaremos;acordarán;acordará;acordarás;
allow;permitire;permitiremos;permitirán;permitirá;permitiras
announce;anunciare;anunciaras;anunciaremos;anunciaran;anunciará
annoy;molestaré;molestaremos;molestarán;molestará;molestarás
answer;responderé;responderemos;responderás;responderán;responderá;responderás
apoligize;disculparé;disculparemos;disculparán;disculpará;disculparás
approve;aprobaré;aprobaremos;aprobarán;aprobará;aprobarás
arrive;llegaré;llegaremos;llegarán;llegará;llegarás
ask;pediré;pediremos;pedirán;pedirá;pedirás
assure;aseguraré;aseguraremos;asegurarán;asegurará;asegurarás
attack;atacaré;atacaremos;atacarán;atacará;atacarás
believe;creeré;creeremos;creerán;creerá;creerás
belong;perteneceré;perteneceremos;pertenecerán;pertenecerá;pertenecerás
blame;culparé;culparemos;culparán;culpará;culparás
call;llamaré;llamaremos;llamarán;llamará;llamaras
carry;llevaré;llevaremos;llevarán;llevará;llevarás
change;cambiaré;cambiaremos;cambiarán;cambiará;cambiarás
check;comprobaré;comprobaremos;comprobarán;comprobará;comprobarás
claim;reclamaré;reclamaremos;reclamarán;reclamará;reclamarás
clean;limpiaré;limpiaremos;limpiarán;limpiará;limpiarás
clear;despejaré;despejaremos;despejarán;despejerá;despejarás
climb;escalaré;escalaremos;escalarán;escalará;escalarás
close;cerraré;cerraremos;cerrarán;cerrará;cerrarás
collect;recogeré;recogeremos;recogerán;recogerá;recogerás
combine;combinaré;combinaremos;combinarán;combinará;combinarás
compare;compararé;compararemos;compararán;comparará;compararás
consider;consideraré;consideraremos;considerarán;considerará;considerarás
consist;consistiré;consistiremos;consisterán;consisterá;consisterás
continue;continuaré;continuaremos;continuarán;continuará;continuarás
copy;copiaré;copiaremos;copiarán;copiará;copiarás
count;contaré;contaremos;contarán;contará;contarás
cover;cubriré;cubriremos;cubrirarán;cubrirá;cubrirás
cry;lloraré;lloraremos;llorarán;llorará;llorarás
